,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
800,Etlingera elatior,"Torch ginger, Philippine wax flower, ginger flower, red ginger lily, torch lily","Herbaceous, perennial","Full, partial","Loamy, moist, well-drained","Acidic, neutral",Seasonal,"Red, pink, white",Asia,,Zingiberaceae
1214,Hydrangea paniculata,"Tree hydrangea, panicle hydrangea, peegee hydrangea",Shrub,"Full, partial","Loamy, well-drained","Acidic, neutral","Summer, fall","White, pink, green",Asia,"Toxic to people, toxic to pets",Hydrangeaceae
251,Paeonia suffruticosa,Tree peony,Deciduous shrub,Full sun to part shade,Fertile loam,6.8 to 7.5,Spring,"White, red, pink, purple, yellow","China, Bhutan",,
252,"Philodendron bipinnatifidum, Thaumatophyllum bipinnatifidum","Tree philodendron, lacy tree philodendron, Philodendron selloum, horsehead philodendron",Broadleaf evergreen,Part shade; avoid direct full sun,"Loamy, moist but well-draining","Neutral, alkaline","Spring, summer",White,South America,Toxic to humans and pets,
253,Fagus sylvatica 'Roseo-Marginata'/'Purpurea Tricolor',"Tricolor beech, tri-colored European beech, Roseomarginata European beech",Tree,Partial,"Moist, well-drained","Acidic, neutral",Spring,,"Cultivar, no native range","Toxic to humans, toxic to pets",Fagaceae
255,Acer buergerianum,"Trident maple, three-toothed maple",Deciduous tree,Full,"Moist, well-drained",Acidic to neutral,Early spring,Greenish-yellow (inconspicuous),"Asia (Eastern China, Japan)",,Sapindaceae
523,Hibiscus rosa-sinensis,"Tropical hibiscus, Chinese hibiscus, China rose",Shrub,"Full sun, partial shade",,Acidic,"Summer, fall","White, red, pink, orange, yellow, purple",Asia,,Malvaceae
258,Campsis radicans,"Trumpet vine, trumpet creeper, cow itch vine, hummingbird vine",Woody perennia vine,"Full, partial","Average, moist but well-drained",Mildly acidic to mildly alkaline (6.0–8.0),Summer,"Orange, red, yellow",North America (Southeast U.S.),Mildly toxic to people and animals,Bignoniaceae
260,Tulipa spp.,Tulip,"Perennial, bulb",Full,"Rich, well-drained soil","Acidic, neutral",Spring,"Red, Pink, Orange, Yellow, Green, Purple, Black, White","Europe, Asia","Toxic to humans, toxic to pets",Liliaceae
259,Liriodendron tulipifera,"Tulip tree, tulip poplar, yellow poplar",Tree,Full,"Moist, well-drained","Acidic, neutral, alkaline",Spring,"Yellow, green, orange",North America,,Magnoliaceae
263,Curcuma longa,"Turmeric, common turmeric, turmeric root",Herbaceous perennial,"Full sun in the far North, partial sun elsewhere","Rich, well-drained, and consistently moist",Slightly acidic to slightly alkaline,July to August,"Burgundy, green, pink, white, yellow, or bicolored",India and Malaysia,,
264,Brassica rapa,Turnip,Annual vegetable,Full sun to part shade,"Sandy, well-draining",Slightly acidic (6.0–6.5),,,"Europe, especially Mediterranean regions",,
268,"Oxypetalum coeruleum, also known as Tweedia coeruleum","Tweedia, blue tweedia, blue milkweed",Herbaceous annual (perennial in zones 10–11),"Full, partial",Moist but well-drained,Acidic to alkaline (5.0–8.0),"Summer, fall",Light blue,South America,Sap is mildly toxic to humans and pets,Apocynaceae
270,Diascia spp.,Twinspur,"Perennial, annual, herbaceous","Full, partial",Well-drained,Acidic,"Spring, fall","Pink, white, orange, red",Africa,,Scrophulariaceae
272,Juniperus osteosperma,Utah Juniper,"Tree, Shrub",Full Sun to Part Shade,"Sandy, Gravelly, Loose Rock",Neutral,No Bloom,No flower but shows blue to purple berry like cones.,Southwest United States,,
273,,"Valerian, all-heal, garden heliotrope",Perennial,Full sun to partial shade,"Average, well-drained, loam",Tolerant of most soils,Early summer,"White, pale pink","Europe, Asia",,
274,Vanda spp.,Vanda orchid,Herbaceous perennial,"Part bright sunlight, part shade","Soilless growing medium, such as peat moss or bark",Slightly acidic,"Cyclical, every few months","Pink, red, yellow, orange, blue, purple, white",Asia,,Orchidaceae
275,Vanilla plantifolia,"Vanilla bean orchid, vanilla","Vine, perennial","Partial, shade","Moist, well-drained",Acidic,Spring,Yellow-green,"North America, Caribbean, Central America",,Orchidaceae
5,Gynura aurantiaca,"Velvet plant, purple velvet plant",Herbaceous perennial,Part shade,Moist but well-drained,Neutral to acidic,Winter,"Orange, yellow",Asia,Non-toxic,
277,Dionaea muscipula,"Venus fly trap, Venus flytrap",Perennial,"Full, partial",,Acidic,"Spring, summer",White,North America,,Droseraceae
278,Verbena x hybrida,"Verbena, annual verbena","Annual, perennial",Full,Well-drained,"Acidic, neutral","Spring, summer, fall","White, red, purple, pink, lavender, bi-colored",Europe,,Verbenaceae
152,Veronica spicata,"Veronica, spiked speedwell, speedwell",Herbaceous perennial,Full sun,Well-drained,Neutral,Summer,"Purplish-blue, pink, white","Europe, Asia",,Plantaginaceae
280,Viburnum spp.,"Viburnum, American cranberry bush, hobblebush",Shrub,"Full, partial","Moist, well-drained","Neutral, acidic",,"White, pink",North America,,Adoxaceae
282,Viola spp.,"Viola, Johnny-jump-up, pansy, violet, sweet violet","Annual, perennial","Full, partial","Moist, well-drained",Acidic,"Spring, fall","Purple, orange, white, blue, yellow, red","North America, Europe",,Violaceae
283,Mertensia virginica,Virginia Bluebells,Perennial,Partial to full shade,Rich and moist,Circumneutral (7),Spring to early summer,Blue,Eastern North America,,
284,Parthenocissus quinquefolia,"Virginia creeper, Victoria creeper, five-leaved ivy, five-finger, woodbine","Perennial, Vine","Full, Partial, Shade","Sandy, Clay, Loamy",Neutral to acidic (5.1 to 7.3),Summer,Greenish white,Eastern and Central United States,Toxic to humans,Vitaceae (grape family)
285,Pinus virginiana,"Virginia pine, Jersey pine, spruce pine, scrub pine",Tree,Full,"Well-drained, sandy, loamy, clay","Acidic, neutral",,,North America,,Pinaceae
286,Itea virginica,Virginia sweetspire and Virginia willow,Shrub,"Full, partial",Moist but well-drained,Acidic,Summer,White,North America,,Iteaceae
288,Silene viscaria (also classified as Viscaria vulgaris or Lychnis viscaria),"Viscaria, sticky catchfly, clammy campion, rose of heaven",Perennial,"Full, partial","Well-drained, sandy, loamy",Slightly acidic to slightly alkaline (6.1-7.8),Summer,Purple,"Europe (Iceland), North America (Canada, Greenland), Asia (Kazakhstan, Siberia)",,
291,"Erysimum cheiri, Erysimum linifolium",Wallflower,"Perennial, annual, biennial, herbaceous","Full, partial","Sandy, well-drained","Neutral, alkaline","Spring, summer, fall","Yellow, orange, purple, pink, blue, red",Europe,,Brassicaceae
292,Oenothera lindheimeri,"Wandflower, whirling butterfly, bee blossom","Perennial, herbaceous",Full,Sandy,"Acidic, alkaline, neutral","Summer, fall","White, pink",North America,,Onagraceae
293,Wasabia japonica,"Wasabi, Japanese horseradish",Perennial vegetable,Full shade,"Moist, rich, well-drained",6.0–7.0 (slightly acidic to neutral),,,Japan,,
295,Quercus nigra,Water Oak,Deciduous Tree,Full Sun,"Sandy Loams, well-drained soil",Neutral,Early Spring,Insignificant,Eastern to Midwest North America,,Fagaceae
423,Bacopa monnieri,"Water hyssop, brahmi, herb of grace","Herbaceous, perennial","Full, partial","Moist, wet; grows even in standing water",Acidic to neutral (5.0 to 7.0),Late spring to early fall,White to light pink,"Warm wetlands of Americas, Asia, Africa",,Plantaginacae
294,Pistia stratiotes,"Water lettuce, water cabbage, Nile cabbage",Perennial,"Full, partial",Not applicable,,"Summer, Fall","Green, white",Africa,Toxic to people and pets,
1046,Nymphaea (Water lily); Nelumbo (Lotus),"Water lily, Lotus","Herbaceous, perennial",Full,"Loamy, clay, silt, sandy",Neutral,Summer,"Water lily: blue, purple, yellow, red, white, pink, orange; Lotus: white, pink, yellow","Asia, Australia, North America",,Nymphaeceae (Water lily); Nelumbonaceae (Lotus)
296,Citrillus lunatus,Watermelon,Annual fruiting vine,Full sun,,Slightly acidic to neutral (6.0 to 6.8),,,Western Africa,,
297,Pilea argyreia,"Watermelon peperomia, watermelon begonia",Perennial,Partial,Moist but well-drained,Acidic,"Spring, summer",Green,South America,,Piperaceae
887,Hoya macrophylla or Hoya latifolia,"Wax Plant, Honey Plant","Perennial, Succulent, Vine","Full, Partial",Well-drained,"Acidic, Neutral",Summer,White,Asia,,Apocynaceae
299,Begonia semperflorens,Wax begonia,Perennial or annual,Full sun to partial shade,"Rich, moist, and well-draining",Neutral to slightly acidic,Summer,"Red, pink, or white",Central and South America,,
306,Picea abies ‘Pendula’,Weeping Norway spruce,Evergreen,"Full, Partial","Loamy, sandy, clay, moist but well-drained","Acidic, neutral",,,Europe,,Pinaceae
307,,Weeping Redbud,Deciduous tree,Partial shade,Well-drained,Neutral to slightly acidic,Early spring,"Pink, lavender",Eastern US,,
308,Pinus strobus 'pendula',"Weeping White Pine, Weeping Eastern White Pine",Evergreen pine tree,Full sun/partial shade,"Preference for sandy, loamy, well-drained",Preference for acidic but tolerates a variety,,,North America,,
419,Melaleuca viminalis,"Weeping bottlebrush, red cascade","Tree, shrub",Full,"Loamy, sandy, moist but well-drained",Slightly alkaline,"Spring, summer",Red,Australia,,Myrtaceae
301,Melaleuca viminalis,"Weeping bottlebrush, red cascade","Tree, shrub",Full,"Loamy, sandy, moist but well-drained",Slightly alkaline,"Spring, summer",Red,Australia,,Myrtaceae
304,Ficus benjamina,"Weeping fig, ficus tree, Benjamin fig",Evergreen tree usually grown as a houseplant,"Filtered, bright sun","Rich, fast-draining potting soil","Acidic, neutral to acidic",Rarely blooms indoors,,"Asia, Australia",Toxic to humans and animals,Moraceae
305,Cercidiphyllum japonicum 'Pendulum',Weeping katsura. pendulous katsura,Tree,Full,Well-drained,Acidic,Spring,"Green, red",Asia,,Cercidiphyllaceae
310,Salix babylonica,Weeping willow,Tree,Full,Moist,"Acidic, neutral, alkaline","Winter, spring",Yellow,China,,Salicaceae
311,Juniperus occidentalis,Western juniper,"Coniferous shrub, tree",Full to partial,"Dry to medium moisture, rocky",Slightly acidic to slightly alkaline (6.0 to 8.0),Cones/berries mature in fall,Blue/purple berries have white coating,West to Pacific Northwest United States,,Cupressaceae
312,Polystichum munitum,Western sword fern,"Evergreen, rhizome","Partial, shade",Moist but well-drained,Acidic,,N/A.,North America,,Dryopteridaceae
313,Triticum aestivum,"Wheat, bread wheat",Grass,Full sun,Well drained loam,Neutral,May (anthers appear),Bright yellow,Western Asia,,
320,Abies concolor,White Fir,Conifer,Full sun,"Sandy, well-drained soil",Slightly Acidic,Non-flowering,Non-flowering,"Western United States, Mexico",,Pinaceae
321,Plumeria alba,"White Frangipani, White Plumeria",Tree,"Full, partial","Loamy, sandy, well-drained","Acidic, neutral","Summer, fall","White, yellow",Puerto Rico and the Lesser Antilles,,Apocynaceae
1174,Plumeria alba,"White Frangipani, White Plumeria",Tree,"Full, partial","Loamy, sandy, well-drained","Acidic, neutral","Summer, fall","White, yellow",Puerto Rico and the Lesser Antilles,,Apocynaceae
324,Quercus alba,White Oak,Deciduous,Full sun,"Rich, moist, well-drained, loamy",5.5-6.5,May,Yellow-Green,Eastern United States,,
325,Salix alba,White Willow,Deciduous tree,Full sun to part shade,"Medium to wet, well-drained",5.5 to 8.0,May,"Yellow (male), Green (female)","Europe, northern Africa to central Asia",,Salicaceae
314,Fraxinus americana,White ash,Deciduous tree,Full,"Rich, loamy, moist but well-draining",Acidic to alkaline (6.0 to 8.0),April to May,Purplish,Eastern North America,,Oleaceae
315,Tacca integrifolia,White batflower,Tropical herb,"Partial shade, shade","Loamy, well-draining",6 to 7,Mid-spring to early fall,"White, purple",Tropical and subtropical Asia,,
317,Trifolium repens,White clover,Herbaceous perennial,"Full, partial","Well-drained, moist",Acidic,"Spring, summer",White,Europe,"Plant itself is non-toxic, contracts fungus toxic to horses",Fabaceae
318,Hosta 'White Feather',"White feather hosta, plantain lily",Perennial,"Partial, shade",Moist but well-drained,"Acidic, neutral, alkaline (6.5 to 7.5)",Mid-summer,Lavender,Northeast Asia,,Asparagaceae
322,Orlaya grandiflora,"White lace flower, Minoan lacea",Herbaceous annual,"Full, partial",Moist but well-drained,Acidic to alkaline (6.0 to 8.0),"Summer, fall",White,Europe,,Apiaceae
323,Morus alba,White mulberry,Deciduous tree,Full sun to part shade,"Rich, moist, well-drained soil",Adaptable,Early spring,Yellowish green,China,,Moraceae
804,Erythronium albidum,"White trout lily, white dogtooth lily, adder's tongue","Herbaceous, perennial","Partial, shade",Moist,Neutral,Spring,White,North America,,Liliaceae
326,Cucumis sativus 'White Wonder',White wonder cucumber,Annual vegetable,Full sun,"Fertile, well-draining",Neutral (7.0),Spring,Yellow,United States,,
334,Rubus idaeus,Wild Raspberry or Wild Red Raspberry,"Perennial, fruit, shrub","Full sun, partial shade",Well-drained,Acidic,"Summer, fall",White,"North America, Europe, Northern Asia",,Rosaceae
332,Geranium maculatum,"Wild geranium, cranesbill, spotted geranium",Perennial,Part sun to full shade,"Moist, rich, acidic",4.5 - 6.8,Early spring to late summer,"Pinks, white, purple","Europe, North America",,Geraniaceae
338,Buxus sinica var. insularis ‘Winter Gem’ or Buxus microphylla japonica 'Winter Gem',Winter Gem Boxwood,Broadleaf evergreen,"Full Sun, Park Shade","Moist, sandy loams with good drainage",Neutral,April,Yellowish-Green,"China, Japan and Korea",Toxic to pets,
339,Cucurbita maxima,Winter Squash,Vegetable,Full sun,Loamy,Slightly acidic to neutral,Summer,"Orange, Yellow",North America,,Cucurbitaceae
337,Eranthis hyemalis,Winter aconite,Perennial,"Full sun, partial sun",Well-drained,Alkaline,Spring,Yellow,Europe,Toxic to humans and animals,Ranunculaceae
873,llex verticillata,"Winterberry, winter hollyberry, hollyberry",Deciduous shrub,"Full, partial","Moist, well-drained",Acidic (5.5 to 6.5),June,Greenish-white,North America,"Toxic to people, toxic to dogs and cats",Aquifoliaceae
341,Buxus sinica var. insularis 'Wintergreen' Buxus microphylla var. koreana.,Wintergreen Boxwood,Broadleaf evergreen,Full Sun,"Moist, sandy loams with good drainage",Neutral,April,Greenish Yellow,"China, Japan and Korea",Toxic to pets,
343,Chimonanthus praecox,"Wintersweet, Japanese allspice",Deciduous shrub,"Full, partial","Fertile, moist but well-drained",Acidic to alkaline (6.0-8.0),Winter,Yellowish with purplish-brown centers,China,Possibly toxic to goats,Calycanthaceae
346,Hamamelis virginiana,"Witch hazel, American witch hazel, common witch hazel","Perennial, shrub","Full, partial","Loamy, silt, moist but well-drained","Acidic, neutral, alkaline","Fall, winter",Yellow,North America,,
901,Sorghastrum nutans,"Wood grass, Indian grass",Perennial,Full,"Sandy, loamy, clay, well-drained","Acidic, neutral, alkaline","Summer, fall","Yellow, orange",North America,,Poaceae
333,Asarum Canadense,"Woodland Ginger, Ginger Root, Heart Snakeroot",Herbaceous perennial,Shade,"Moist, rich","Slightly acidic, 5.0 - 6.0",April - June,Dark red,"Eastern North America, Southeastern Canada",,
348,Phlox divaricata,"Woodland phlox, wild blue phlox","Herbaceous, perennial","Partial, shade","Moist, well-drained",Neutral,Spring,"Purple, blue",North America,,Polemoniaceae
349,Achillea millefolium,"Yarrow, common yarrow, gordaldo, poor man's pepper, nosebleed plant, sanguinary, milfoil, soldier's woundwort, thousand-leaf, thousand-seal",Perennial,Full,"Sandy, loamy, clay, well-drained",Neutral,"Summer, fall","White, yellow, pink, red, purple, orange","Asia, Europe, North America","Toxic to cats, dogs, and horses",Asteraceae
352,Tecoma stans,"Yellow Bells, Yellow Elder, Esperanza, Yellow Trumpetbush","Perennial, shrub","Full, partial","Loamy, sandy, well-drained","Neutral, alkaline","Spring, summer, fall",Yellow,"North America, South America, Central America",,Bignoniaceae
351,Aurinia saxatilis,"Yellow alyssum, basket-of-gold, gold basket, gold dust, golden tuft, rock madwort",Herbaceous perennial,Full sun,"Dry, sandy to average, well-draining",5.6 to 7.5,Spring,Yellow,"Asia, Europe",,
354,Betula alleghaniensis,"Yellow birch, golden birch",Deciduous tree,"Full sun, partial sun","Fertile sandy loam, well-drained","Neutral, acidic, alkaline",Spring,Yellow,North America,,Betulaceae
355,Echinacea paradoxa,"Yellow coneflower, Yellow echinacea, Ozark coneflower",Perennial,Full sun,Well-drained,Alkaline,"Summer, Fall",Yellow,North America,,
356,Corydalis lutea,"Yellow corydalis, rock fumewort",Perennial,Part shade,"Moist, well-draining soil",6.5-8,"Spring, summer, fall","Yellow, orange",Europe,,
362,Fritillaria pudica,"Yellow fritillary, yellow bells",Perennial bulb,"Full, partial","Well-drained, sandy to rocky",Mildly acidic to mildly alkaline (6.0 to 8.0),Early spring,"Yellow, reddish-orange",Western North America,,Liliaceae
357,Iris pseudacorus,"Yellow iris, yellow flag, yellow flag iris, water flag",Herbaceous perennial,Full to partial sun,"Medium to wet, with average fertility",Acidic,May to June,"Yellow, with bluish-brown veins","Europe, northwest Africa, and western Asia",,
359,Citrullus lanatus,Yellow watermelon,Tender annual,Full sun,"Moist, rich, and loamy",Acific; 6.0 to 6.8,,,Africa,,
360,Stylophorum diphyllum,Yellow wood poppy,Perennial,Partial to full shade,"Rich, moist, well-draining",Acidic,Spring and summer,Yellow to yellow-orange,"Canada, United States",Toxic to humans and animals,
363,Ilex paraguariensis,"Yerba Mate Plant, Maté, Yerba Matá, Paraguay Tea",Evergreen tree/shrub,Full Sun/Partial Shade,"Tolerates a variety, but should be well-drained","Preference for slightly acidic, but tolerates a variety",Late fall/early winter,Green White,Subtropical regions of South America,,
1138,Brunfelsia pauciflora,"Yesterday-today-and tomorrow plant, Morning-noon-and-night, Kiss-me-quick, Brazil raintree, Franciscan raintree",Perennial shrub,Full sun to part shade,"Sandy, silt, loamy",<6.0 (acidic),All season bloom,"Purple, lavender, white",Brazil,Toxic to pets,
365,Taxus,"Yew bush, yew tree, yew shrub",Perennial,"Full, partial, shade","Loamy, moist, well-drained",Neutral (5.0 to 7.0),Nonflowering,Nonflowering,"Europe, Africa, Asia",Toxic to people and pets,Taxaceaev
366,Prunus × yedoensis,Yoshino Cherry,Flowering tree,Full sun,"Average, medium moisture, well-drained",6.5 to 7.0,March to April,White to pink,Japan,,Rosaceae
350,Ilex vomitoria,"Youpon holly, yaupon, cassina","Shrub, tree","Full, partial",Sandy,"Acidic, neutral",Spring,"Greenish, red",North America,"Toxic to people , toxic to pets",Aquifoliaceae
367,Yucca spp.,Yucca plant,"Herbaceous, perennial",Partial,"Sandy, well-draining","Neutral, acidic","Summer, fall","White, pink","North America, Caribbean",Toxic to pets,Agavaceae
374,Zamioculcas zamiifolia,"ZZ plant, Zanzibar gem, eternity plant",Perennial,Partial,Well-draining,"Neutral, acidic",Spring,"Yellow, green, white",Africa,"Toxic to humans, toxic to pets",Araceae
368,Miscanthus sinensis 'Zebrinus',"Zebra grass, maiden grass, Chinese silvergrass",Ornamental grass,Full,"Chalk, clay, loam, sand",Neutral,Late summer,Silvery white,Japan,,Poaceae
369,Aphelandra squarrosa,Zebra plant,Annual,Partial,Moist,"Neutral, acidic","Summer, fall",Yellow,Brazil,,Acanthaceae
558,Alocasia zebrina,"Zebra plant, zebrina Alocasia, tiger taro (gabing tigre)","Perennial, bulb",Partial,Moist but well-draining,"Acidic, neutral","Spring, summer","Green, white",Asia,Toxic to pets,Araceae
370,Euphorbia tithymaloides (formerly Pedilanthus tithymaloides),"Zigzag plant, red bird flower, fiddle flower",Tropical succulent,"Bright, indirect sun","Rich, well-drained, slightly acidic",6.1- 7.8,Summer,"White, pink, red",Tropical and sub-tropical North and Central America,Sap is toxic to humans and animals,
371,Hydrangea paniculata 'Zinfin Doll',Zinfin Doll hydrangea,Shrub,"Full, partial",Well-drained,Neutral to acidic,Summer,"White, pink, red",Asia,,Hydrangeaceae
262,"Zoysia spp,",Zoysia grass,Perennial turf grass,Full,Well-drained,"Acidic, neutral",,,Korea,,Poaceae
0,Sansevieria cylindrica,"African spear plant, cylindrical snake plant, spear sansevieria",Succulent,"Full, partial","Sandy, well-drained",Neutral,Sporadic,White,Africa,Toxic to pets and humans,
10,Populus tremuloides,"Quaking aspen, trembling aspen, American aspen, golden aspen, mountain aspen, trembling poplar, white poplar",Deciduous tree,Full sun,"Well-drained, fertile",5.5 to 8.0,,,North America,,Salicaceae
11,Hydrangea paniculata ‘Bulk’,Quick Fire hydrangea,Deciduous shrub,Full sun to partial sun,"Well-drained, moist",Neutral (6.6 to 7.3),Summer to fall,White turning pink,Asia,"Toxic to humans, toxic to pets",Hydrangeaceae
20,Goodyera,"Rattlesnake plantain, jade orchid",Perennial,Partial,"Rich, moist, well-drained","Acidic, neutral","Summer, fall",White,"Europe, Africa, North America, Central America, Asia, Australia",,
25,Ribes rubrum,Red currant,Fruit,"Full sun, partial shade","Loamy, well-drained",Slightly acidic (6.2 to 6.5),Spring,Light green,Europe,,Grossulariaceae
36,"Cornus servicea, Cornus alba, or Cornus sanguinea","Red-twig dogwood, red osier dogwood, Tatarian dogwood",Deciduous flowering shrub,Full sun to part shade,"Fertile, moist soil",5.5 to 6.6 (slightly acidic),Spring,White,North America,,Cornaceae
47,Cotoneaster horizontalis,"Rock cotoneaster, rockspray cotoneaster, wall cotoneaster",Deciduous shrub,Full sun,Well-drained; young plants need evenly moist soil,6.75 to 7.5 (neutral to slightly alkaline),Late spring,Light pink,Western China,,
49,Solanum lycopersicum,"Roma tomato, paste tomato","Annual, vegetable",Full,Acidic,,Summer,,South America,"Toxic to humans, toxic to pets (non-fruit parts)",Solanaceae
53,Salvia rosmarinus,Rosemary,Herbaceous perennial,,,,,,,,
56,Acanthus mollis,"Bear's Breeches, Oyster Plant","Perennial, herbaceous","Full, partial",Moist but well-drained,"Acidic, neutral, alkaline","Spring, summer","White, purple","Europe, Mediterranean",,Acanthaceae
68,Lycopersicon esculentum 'San Marzano',San Marzano Tomato,Annual vegetable plant,Full sun,"Organic, well-draining",Acidic to Neutral,Summer,,Europe,Plant is toxic; fruit is non-toxic,Solanaceae (nightshade)
70,Sassafras albium,Sassafras,Tree,"Full sun, part shade","Loamy, sandy, moist, well-drained",Neutral to acidic (6.0 to 7.0),Spring,Greenish-yellow,Eastern North America,,Lauraceae
80,Pelargonium (scented-leaved group),Scented-leaved geraniums,"Tender perennial, annual","Full, partial","Loamy, well-drained","Acidic, neutral",Summer,"White, pink, red",Southern Africa,"Toxic to pets, mildly toxic to people",Geraniaceae
87,,"Autumn Joy, Autumn Joy stonecrop, stonecrop, sedum, rock moss, gold chain","Herbaceous, perennial",Full,"Sandy, well-drained","Acidic, neutral, alkaline","Summer, fall","Pink, red","Europe, Asia",,Crassulaceae
102,Sedum spp.,"Sedum, stonecrop, showy stonecrop, border stonecrop",Perennial,"Full, partial","Sandy, loamy, well-drained","Acidic, neutral","Summer, fall","Red, pink, yellow, white","North America, South America, Central America, Europe, Asia, Africa, Mediterranean",,Crassulaceae
113,Acer saccharinum,"Silver maple, soft maple, creek maple, river maple, white maple, water maple",Deciduous tree,Full to partial sun,"Sandy, loamy","Acidic, neutral, slightly alkaline",,,Eastern North America,,Sapindaceae
114,Artemisia schmidtiana 'Silver Mound',"Silvermound, silver mound, wormwood, artemisia, angel's hair",Perennial,"Full, partial",Well-drained,"Neutral, alkaline",Summer,Yellow,Japan,"Toxic to people, toxic to pets",Asteraceae
120,Cotinus coggygria,"Smoke bush, royal purple smoke bush, smoke tree, European smoketree, Eurasian smoketree, Venice sumach, dyer's sumach",Deciduous shrub,Full sun,"Prefers well-drained, loamy soil",Tolerates both acidic and alkaline soils,Late spring to mid-summer,Yellow,Southern Europe to central China,Mildly toxic to humans,Anacardiaceae
126,Actaea,"Bugbane, white cohosh, snakeberry, doll's-eyes","Herbaceous, perennial","Partial, shade",Well-drained,Neutral,"Summer, fall","White, lavender",North America,,Ranunculaceae
128,Maurandya scandens or Asrina scandens,"Snapdragon vine, creeping snapdragon, trailing snapdragon, vining snapdragon, creeping gloxinia, chickabiddy",Vine,"Full sun, partial shade","Rich, well-drained loam",Neutral to acidic,"Spring, summer","Pink, blue, lavender, violet, white",Mexico and Central America,,Plantaginaceae
135,Galanthus nivalis,"Snowdrops, common snowdrop. The more poetic ""fair maids of February"" and ""Candlemas bells"" both refer to the plant's emergence in February in some zones.",Perennial bulb (hardy in the North),Full sun to partial shade,"Loamy, sandy, humusy, well-drained","Acidic, neutral, alkaline",Early spring,White,Western Asia and Eastern Europe,"Toxic to people, pets",Amaryllidaceae (Amaryllis)
155,Moluccella laevis,"Bells of Ireland, shell flower",Annual,"Full, partial","Moist, well-drained",Neutral,"Summer, fall",White,Asia,,Lamiaceae
157,Costus woodsonii,"Red button ginger, Indian head ginger, scarlet spiral flag. red cane","Perennial, herbaceous, rhizome",Partial sun to partial shade,Moist but well-drained,Neutral to acidic,Summer,Yellow-orange,Central America,,Costaceae
159,Monstera deliciosa,"Split-leaf philodendron, Swiss cheese plant, windowleaf, ceriman",Climbing evergreen,"Bright indirect sunlight, partial shade","Peat-based potting soil, well-drained",Acid or neutral,Mid-summer,Cream/tan,Central America,Toxic to cats and dogs,Araceae
160,Monarda punctata," Spotted bee balm, dotted bee balm, horsemint, spotted horsemint","Herbaceous, perennial",Full,"Loamy, sandy, silt, well-drained",Neutral,Summer,"Pink, yellow, purple",North America,,Lamiaceae
165,Stenotaphrum secundatum,"St. Augustine grass, buffalo grass, carpet grass, couchgrass, quickgrass, wiregrass, mission grass, pimento grass, Charleston grass","Herbaceous, perennial grass",Full sun to partial shade,Well-drained,6 to 7.5,,,"The Caribbean, South America, southeastern U.S. in the New World; Africa and Asia in the Old World",,Poaceae
190,Senecio spp.,Senecio (varies by species),"Perennial, succulent","Full, partial",Sandy,Neutral,Varies by species,Varies by species,South Africa,Toxic to humans and pets,Asteraceae
197,Helianthus annuus,"Sunflower, common sunflower",Annual,Full,Well-drained,"Acidic, neutral, alkaline","Summer, fall","Yellow, red, mahogany, bicolors",North America,,Asteraceae
198,Impatiens x hybrida SunPatiens®,SunPatiens®,Annual,"Full sun, partial shade","Loamy, sandy, silt, moist but well-drained",Neutral to acidic (5.8 to 6.2),"Spring, summer, fall","Red, pink, orange, purple, white",,,Balsaminaceae
200,Asclepias incarnata,"Swamp milkweed, rose milkweed, pleurisy Root, white Indian hemp","Perennial, herbaceous",Full,"Clay, loam","Acidic, neutral, alkaline",Summer,"Pink, white",North America,"Toxic to humans, toxic to animals",Apocynaceae
201,Quercus bicolor,Swamp white oak,Tree,Full sun,"Clay, loam, sand, moist but well-drained","Neutral to acidic, 5.0 to 7.4",Spring,Inconspicuous,North America,,Fagaceae
214,Beta vulgaris var. cicla,"Swiss chard, silverbeet, silver beet, leaf beet, seakale beet, spinach beet","Biennial, vegetable","Full, partial","Rich, moist, well-drained",Slightly acidic (6 to 6.4),Summer,Yellow,Mediterranean,,
217,Nephrolepis obliterata,"Kimberley queen fern, sword fern",Perennial,"Partial, shade","Moist, well-drained","Acidic, neutral",,,Australia,,
222,Magnolia macrophylla,"Bigleaf magnolia, large-leaved cucumber tree, great-leaved macrophylla, umbrella tree",Tree,"Full, partial","Loamy, moist, well-drained","Acidic, neutral",Late spring to early summer,Creamy white with purple petal bases,"Caribbean, North America, Central America",,
235,Thymus vulgaris,"Thyme, garden thyme, common thyme",Herbaceous perennial,,,,,,,,
245,"Cardamine concatenata (Synonyms: Cardamine laciniata, Dentaria concatenata, Dentaria concatenata var. coalescens, Dentaria laciniata, Dentaria laciniata var. integra)","Cutleaf Toothwort, Cut-leaved Toothwort, Toothwort",Herbaceous perennial,Part shade (Dappled sunlight and summertime afternoon shade),"Well-drained organically rich, mesic to moist",Circumneutral (pH 6.8-7.2),April to May,White,Eastern half of North America west to the Dakotas down to Texas,,
246,,"Topsy Debbi, lilac spoons",Succulent,Full,"Sandy, well-drained","Acidic, neutral",Spring,Yellow,"Hybrid, no native range",,Crassulaceae
261,Nyssa sylvatica,"Black gum tree, tupelo, black tupelo, sour gum tree, pepperidge",Tree,"Full, partial","Moist, well-drained",Acidic,,,North America,,Nyssaceae
