,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
967,"Korean fir, kusang namu",Abies koreana,Pinaceae,Evergreen tree (conifer),"15–30 ft. tall, 6–12 ft. wide","Full, partial","Rich, moist, well-drained",Acidic (5.5–6.0),None,None,5–7 (USDA),Asia,
968,"Korean maple, purplebloom maple",Acer pseudosieboldianum,,Deciduous tree/shrub,Up to 25 ft. tall,"Full, partial","Rich, well-drained",Any,Spring,Purple,4–8 (USDA),"Korea, China",
969,"Asian pear, Korean pear, Japanese pear, Taiwanese pear, Chinese pear, apple pear, zodiac pear, papple, sand pear",Pyrus pyrifolia,,Fruit tree,"30–40 ft. tall, 30–40 ft. wide",Full,"Loamy, sandy, well-drained",Acidic to neutral (6 to 8),Spring,White,5b–8a (USDA),Asia,
970,"Korean spice bush, Korean spice viburnum",Viburnum carlesii,Adoxaceae,Deciduous flowering shrub,"4–6 ft. tall, 4–7 ft. wide","Full, partial","Moist, well-drained",Acidic to neutral,Early to mid-spring,Pinkish transforming to white,4–7 (USDA),"Korea, Japan",
971,Kousa Dogwood,Cornus kousa,,Tree,15-30 ft. tall and wide.,Full to Part Shade,"Rich, well-drained soil",Slightly Acidic,May to June,"White, Pink and Red",USDA 5-8,"China, Japan, Korea",
972,"Astilbe, false spirea, false goat's beard",Astilbe spp.,Saxifragaceae,"Perennial, rhizome","6-24 in. tall, 6-60 in. wide","Partial, full","Loamy, moist","Acidic, neutral","Spring, summer","Pink, red, purple, white",3-8 (USDA),"Asia, North America",
973,"Kudzu, East Asian arrowroot",Pueraria montana var. lobata,,"Perennial, vine",60-100 ft. long,973,"Sandy, well-drained",,Summer,Purple,5–10 (USDA),Asia,
974,Kumquat,Citrus japonica,Rutaceae,"Fruit, tree, perennial","7–10 ft. tall, 5–8 ft. wide",Full sun,"Loamy, moist, well-drained","Acidic, neutral (6.0 to 7.0)","Spring, summer",,9–11 (USDA),Asia,
975,Lacebark pine,Pinus bungeana,Pinaceae,Evergreen tree,"30-50 ft. tall, 20-35 ft. wide",Full,"Moist, well-drained","Neutral, acidic, alkaline",Summer,,4-8 (USDA),Asia,
976,Lacecap hydrangea,Hydrangea macrophylla,Hydrangeaceae,Shrub,"3-7 ft. tall, 3-5 ft. wide",Partial,Well-drained,"Acidic, neutral","Summer, fall","Blue, white, pink",3-9 (USDA),"Cultivars, no native range","Toxic to humans, toxic to pets"
977,Lady fern,Athyrium filix-femina,,Perennial,"2 to 3 ft. tall, 18 to 24 in. wide",Shade to partial sun,"Moist, rich, sandy, well-draining",Slightly acidic,Not applicable,Not applicable,"3 to 6, USA",North America,
978,"Lady palm, bamboo palm, miniature fan palm",Rhapis excelsa,,Shrub,"6–15 ft. tall and wide (outdoors), up to 6 ft. tall, 4 ft. wide (indoors)","Partial, shade","Loamy, well-drained","Acidic, neutral",Spring,Yellow,9–11 (USDA),China,
979,"Lady's mantle, bear's foot",Alchemilla mollis,Rosaceae,Herbaceous perennial,12–24 in. tall and wide (some varieties),"Full sun, partial shade","Medium moisture, well-drained",Acidic to neutral (6 to 6.5),June to September,Yellow-green,3b–8b (USDA),Europe,
980,"Ladybells, Lady bells, false campanula",Adenophora bulleyana,,Herbaceous perennial,Up to 3 feet,Partial to full sun,Tolerant but prefers well-drained,Tolerates all,Early summer,Pale violet blue,USDA 3 to 7,"Western China, Eurasia",
981,Lamb's ear,Stachys byzantina,Lamiaceae,Herbaceous perennial,"9-18 in. tall, 12-18 in. wide","Full, partial",Well-drained,"Acidic, alkaline, neutral","Spring, summer","Purple, pink",4-8 (USDA),Mediterranean,
982,"Lamb's ears, Wooly Betony",Stachys byzantina,Lamiaceae,Herbaceous perennial,"12–18 in. tall, up to 12 in. wide",Full to partial,"Well-draining, evenly moist to dry soil",Slightly acidic (6.0–6.5),Summer,Light purple,4a–9a (USDA),Middle East,
983,"Aubrieta, false rock cress",Aubrieta spp.,Brassicaceae,"Perennial, herbaceous","4-6 in. tall, 12-24 in. spread","Full, partial",Well-drained,"Acidic, alkaline",Spring,"Pink, purple, white",4-9 (USDA),Europe,
984,"Lantana, shrub verbena",Lantana camara,Verbenaceae,Perennial in zones 9-11; otherwise annual,6 ft. high and wide (as a perennial),Full sun,Well-drained,Neutral (6.0-8.0),Year-round in frost-free climates,"Mix of red, orange, yellow, blue, white, pink",7a-11a (USDA),"Tropical Americas, West Indies, Mexico",Toxic to pets
985,Larch,Larix spp.,Pinaceae,Deciduous tree,"40–100 ft. tall, 20–30 ft. wide",Full,Moist but well-draining,Acidic to neutral (5.0 to 7.4),Spring,Pinkish to green cones,2-7 (USDA); depends on species,Northern hemisphere,
986,"'Black Knight' delphinium, candle larkspur",Delphinium elatum 'Black Knight',,Herbaceous perennial,"4–6 ft. tall, 1–2 ft. wide",Full,"Moist, well-drained, fertile",Neutral to alkaline (7.0 to 8.5),"Summer, fall",Dark purple,3–7 (USDA),"Europe, Asia","Toxic to humans, animals"
987,"Bay laurel, laurel, laurel tree, bay tree, bay leaf, sweet bay",Laurus nobilis,Lauraceae,"Tree, shrub","10–60 ft. tall, 5–20 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral, alkaline","Spring, summer",Yellow,8–10 (USDA),Mediterranean,Toxic to pets
988,Lavender,Lavandula spp.,Lamiaceae,Herbaceous perennial,"2–3 ft. tall, 2–4 ft. wide",Full sun,"Dry, well-draining",Alkaline,Summer,Purple,"5a–9a, USDA",Europe,"Toxic to dogs, toxic to cats"
989,Leek,Allium ampeloprasum,Amaryllidaceae,"Vegetable, perennial, annual","1–3 ft. tall, 6–12 in. wide",Full sun,"Loamy, well-drained","Neutral, acidic",Spring,,5–9 (USDA),"Europe, Africa",Toxic to pets
990,Lemon balm,Melissa officinalis,,Herbaceous perennial,"1.5–2 ft. tall, 1.5–3 ft. wide","Full sun, partial shade",Well-drained,Neutral to acidic,Summer,"White, pale yellow",3–7 (USDA),Europe,
991,"Lemon button fern, button sword fern, erect sword fern, little-leaved sword fern, fishbone fern.",Nephrolepis cordifolia 'Duffii',Nephrolepidaceae,Rhizomes,"12 in. tall, 12 in. wide","Partial, shade","Loamy, moist but well-draining",Acidic,,,"8a, 8b, 9a, 9b, 10a, 10b",Asia,
992,Lemon cucumber,Cucumis sativus 'Lemon',Cucurbitaceae,Climbing vegetable vine,6 to 8 foot vines,Full sun,"Rich, well-drained",Mildly acidic to neutral,Midsummer to late summer and early fall,Bright yellow,"2-10, USDA (annual)",India,
993,"Lemon cypress, Goldcrest Monterey cypress",Cupressus macrocarpa 'Goldcrest',Cupressaceae,Tree,"10 ft. tall, 2-3 ft. wide","Full, partial","Sandy, well-drained",Neutral,,,7-10 (USDA),North America,
994,Amazonian elephant's ear,Alocasia x amazonica,,Tropical,"1–2 ft. tall, 1–2 ft. wide",Partial,"Moist, well-drained",Neutral to acidic,"Spring, summer (rarely blooms)",Green,9–11 (USDA),Asia,"Toxic to humans, dogs, and cats"
995,"Australian tree fern, Cooper's tree fern, lacy tree fern, scaly tree fern",Cyathea cooperi,Cyatheaceae,Evergreen fern,"Typically 15–25 ft. tall, 10–12 ft. wide; up to 50 ft. tall in the wild",Partial sun,"Moist, well-drained","Neutral, acidic",,,8–11 (USDA),Australia,Not toxic to humans or animals
996,Lemon tree,Citrus limon (Rutaceae)​,,Broadleaf evergreen,20 feet tall and 15 feet wide,Full sun,Well-drained fertile soil,Slightly acidic and low in soluble salts,Spring,White,8-11 (USDA),Asia,Toxic to dogs and cats
997,"Lemon verbena, lemon beebrush, vervain",Aloysia citriodora,Verbenaceae,Tender perennial in frost-free zones,6 ft. where hardy,Full sun,Rich and moist,Slightly acidic (6.1 to 7.0),Late summer,,8-11 (USDA),"Argentina, Chile","Toxic to cats, dogs, and horses"
998,Lemongrass,Cymbopogon citratus,Poaceae,"Perennial, annual, herb","2-4 ft. tall, 2–3 ft. wide",Full,Loamy,Neutral,,,10-11 (USDA),Asia,Toxic to pets
999,Lenten rose,Helleborus x hybridus,Ranunculaceae,"Evergreen, perennial",12 to 18 inches tall and wide,Partial,"Moist, well-drained, loamy",Slightly acidic to alkaline (6.5–8),Late winter to early spring,White to pink to light rose-purple,4–9 (USDA),Europe,Toxic to humans and animals
1000,"Lentil plant, Adas, Mercimek, Messer, heramame, masoor",​Lens culinaris,,Annual crop,12 to 20 inches tall (18 to 24 inches between rows),Full sun,"Well-drained, fertile, sandy loam",6.0-6.5 (up to 8.0),Spring,"White, pale blue, light purple","5-11, USDA","Egypt, Greece, and Rome",
1001,"Lettuce, garden lettuce",Lactuca sativa,Asteraceae,"Annual, vegetable",6–12 in. tall and wide,"Full sun, partial sun","Loamy, rich, well-drained","Acidic, neutral (6 to 7)",Seasonal,,2a–11b (USDA),Mediterranean,
1002,Leyland cypress,Cuprocyparis leylandii,Cupressaceae,Coniferous evergreen tree,60–70 ft tall; 10—15-ft. wide,Full sun to part shade,"Fertile, moist, well-drained",Acidic to slightly alkaline,Non-flowering,Non-flowering,6–10 (USDA); may survive in zone 5,Cultivated hybrid; parents are North American natives,Skin irritation possible; possibly toxic to grazing animals
1003,"Blazing star, liatris, dense blazing star, gay feather",Liatris spicata,Asteraceae,Herbaceous perennial,"2–5 ft. tall, 9–18 inches wide",Full,"Medium-moisture, well-drained",Acidic to neutral (5.5 to 7.5),Summer to early fall,"Purple, reddish-purple, white",3–9 (USDA),Eastern North America,
1004,"Hickory wattle, fish wattle",Acacia implexa,,Tree,20-50 ft. tall,Full sun,"Sandy, clay",Neutral to acidic (5.0 to 7.0),Summer,Cream to pale yellow,"6 to 9, USA",Eastern Australia,
1005,"Leopard plant, green leopard plant, tractor seat plant",Farfugium japonicum,Asteraceae,"Herbaceous, perennial","1-2 ft. tall, 1-2 ft. wide",Shade,Moist,"Acidic, alkaline",Summer,Yellow,7-10 (USDA),Asia,Toxic to humans and animals
1006,Pinus nigra,"Austrian pine, European black pine, black pine",Pinaceae,Evergreen conifer,"40–60 ft. tall, 20–40 ft. wide",Full,"Moist, well-drained soil",Acidic to neutral (will tolerate a mildly alkaline soil),Spring,Yellowish-green (inconspicuous),4–7 (USDA),Central and southern Europe,
1007,"Lilac bush, common lilac",Syringa vulgaris,Oleaceae,Shrub,"8–15 ft. tall, 6–12 ft. wide",Full,"Loamy, well-drained",Neutral,Spring,"Purple, white","3–7, USA",Europe,
1008,"Lima bean, butter bean, chad bean, wax bean",Phaseolus lunatus,Fabaceae,"Annual, fruit","2–12 ft. tall, 1–3 ft. wide",Full sun,"Loamy, moist, well-drained","Acidic, neutral (6 to 6.8)",Summer,,2–11 (USDA),"North America, Central America, South America","Toxic to people, toxic to pets"
1009,Limelight hydrangea,Hydrangea paniculata 'Limelight',Hydrangeaceae,Shrub,"6-8 ft. tall, 6-8 ft. wide","Full, partial",Well-drained,Acidic,Summer,"Green, white, pink",3-9 (USDA),"Cultivar, no native range","Toxic to humans, toxic to pets"
1010,"Flax plant, flax, common flax, linseed",Linum usitatissimum,,Annual herb,Three feet tall,Full sun,"Rich, sandy or loamy, well-drained",05-Jul,Mid-spring through summer,"Blue, white, pale pink","5, 6, 7, 8, 9",Central Asia and the Mediterranean region,
1011,"Lipstick palm, red sealing wax palm, rajah wax palm",Cyrtostachys renda,,"Tree, cycad","25 to 35 ft. tall, 12 to 20 ft. wide",Full to partial sun,"Loamy, moist but well-drained",Acidic to neutral,Summer,Green,Zone 11,"Malay peninsula, Borneo, Sumatra",
1012,"Lipstick plant, lipstick vine, basket vine",Aeschynanthus radicans,Gesneriaceae,Evergreen perennial,3 ft. long,Bright filtered light,Very well-drained,Neutral to alkaline,"Spring, summer, fall",Red,"10–11 (USDA), usually grown as a houseplant",Asia,
1013,"Liriope, lilygrass, big blue turflily (L. Muscari); creeping liriope, monkey grass (L. Spicata)",Liriope Spicata or L. Muscari,Asparagaceae,Herbaceous perennial,"9–18 in. tall, 12-24 in. spread","Full, partial","Well-draining, sandy",Acidic (6.0 to 7.0),August to September,"Lavender, white",4–10 (USDA),East and Southeast Asia,
1014,Lisbon lemon tree,Citrus x limon 'Lisbon',,Evergreen tree,Up to 15 ft. tall,Full sun,Well-drained,"Tolerant of a variety, particularly acidic types",Spring,White,9-11 (USDA),Australia with Portuguese descent,Toxic to dogs and cats
1015,"Lisianthus, prairie gentian, bluebell gentian",Eustoma russellianum (prev. Eustoma grandiflorum),Gentianaceae,"Herbaceous, perennial, annual","1–3 ft. tall, 6–12 in. wide",Full,"Moist, well-drained soil",Neutral,"Summer, fall","Purple, pink, white",8–10 (USDA),Northern America,
1016,Lithodora,"Lithodora diffusa, formerly Lithospermum diffusum",Boraginaceae,"Perennial, groundcover, herbaceous","6-10 in. tall, 24-36 in. wide","Full, partial","Sandy, well-drained",Acidic,"Spring, summer",Blue,6-8 (USDA),"Europe, Mediterranean",
1017,"Autograph tree, balsam apple, pitch apple",Clusia rosea,Clusiaceae,"Shrub, tree","8 to 25 ft. tall, 8-10 ft. wide",Full,"Sand, clay, loam, well-draining","Acidic, neutral",Summer,"White, pink",10b-11 (USDA),"Caribbean, Central America","Toxic to humans, and toxic to pets."
1018,"Little Bluestem, Beard grass",Schizachyrium scoparium,Poaceae,Ornamental perennial grass,2 - 5 ft. tall,Full sun,Various,"Acid, Neutral, Alkaline","Summer, Fall",Purple,"3 - 9, USDA",North America,
1019,"Little leaf linden, small-leaved lime",Tilia cordata,,Deciduous tree,50 to 80 feet tall and 20 to 50 feet wide,Full sun to part sun,"Well-drained rich soil, adaptable to clay","Acidic, alkaline, neutral",May through July,Lime-Yellow,"4, 5, 6, 7",Western Asia and Europe,
1020,Southern Live Oak,Quercus virginiana,Fagaceae,Broadleaf evergreen,"40-80 ft. tall, 60-100 ft. wide","Part shade, Full sun","Dry to moist, Well draining",Slightly acidic to neutral,"Early spring, May",Yellowish-Green,"8-10, USDA",Southeastern United States,
1021,"Liverleaf, Liverwort, Hepatica",Hepatica nobilis,,Perennial,Up to 5 inches,Full Sun/Partial Shade,Tolerates a variety,"Preference for alkaline, but tolerates a variety",Spring,Blue and violet,5 to 8,"Europe, Asia and North America",
1022,"Living stones, pebble plants",Lithops spp.,Aizoaceae,"Succulent, perennial","0.5–2 in. tall, 0.5–2 in. wide",Full,"Sandy, well-drained","Acidic, neutral, alkaline","Fall, early winter","White, yellow, orange",10–11 (USDA),Africa,
1023,"Lobelia, annual lobelia, edging lobelia",Lobelia erinus,Campanulaceae,Annual,"6-9 in. tall, 9-10 in. wide","Full, partial",Moist but well-drained,"Acidic, neutral","Summer, fall","Blue, pink, purple, white, red",10 to 11 (USDA),Africa,"Toxic to people, toxic to pets"
1024,"Loblolly pine, bull pine, blue pine, rosemary pine",Pinus taeda,Pinaceae,Coniferous evergreen,"40-90 ft. tall, 25-35 ft. spread",Full sun,"Moist, loamy, sandy, clay",Acidic,Non-flowering,Non-flowering,6-9 (USDA),North America,
1025,Lodgepole pine,Pinus contorta,Pinaceae,"Coniferous, evergreen",Varies; 3.5 ft. to 160 ft.,"Full, partial",Adaptable,5.0 to 7.5,June,Pale Yellow,04-Aug,North America,
1026,Lodi apple tree,Malus lodi,,Fruit tree,20 feet tall,Full sun,"Well-drained, loamy",06-Jul,July,Greenish yellow apples,03-Aug,Washington,
1027,Lombardy poplar,Populus nigra 'Italica',Salicaceae,Tree,"40-50 ft. tall, 10-15 ft. wide",Full,"Sandy, loamy",Neutral,,,3-9 (USDA),Europe,
1028,"Autumn blaze maple tree, Freeman maple",Acer x freemanii 'Autumn Blaze',Sapindaceae,Tree,"40-55 feet tall, 30-40 feet wide","Full, partial",Well-drained,Acidic,,,3-8 (USDA),North America,
1029,"London plantree, London plane, hybrid plane",Platanus × acerifolia,Platanaceae,Tree,"75-100 ft. tall, 60-75 ft. wide","Full, partial","Loamy, sandy, clay","Acidic, neutral, alkaline",Spring,"Red (female), yellow, green (male)",5-9 (USDA),"North America, Asia",
1030,"Georgia pine, hard pine, heart pine, hill pine, longleaf pine, longleaf yellow pine, Southern yellow pine, longstraw pine",Pinus palustris,Pine,Evergreen tree,80 to 100 feet,Full sun,Prefers well-drained soil but has some clay tolerance,Acidic to neutral,,,7 to 9,Southeastern U.S.,
1031,"Luffa, loofah, loofa, sponge gourd, gourd luffa, luffa sponge, smooth luffa, dishrag gourd, Egyptian luffa","Luffa aegyptiaca, Luffa cylindrica",Cucurbitaceae,Annual,"2-3 ft. tall, 8-12 ft. wide",Full,Well-drained,Acidic,Summer,Yellow,7-13 (USDA),Asia,
1032,"Loquat tree, Japanese plum, medlar, misbelief",Eriobotrya japonica,,Fruit tree,"10–25 ft. tall, 10–25 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral, alkaline","Late fall, early winter","White, blush",8–10 (USDA),China and Japan,Fruit: no; seed: yes
1033,"Chinese fringe flower, Chinese witch hazel",Loropetalum chinense,Hamamelidaceae,Shrub,10-15 ft. tall and wide,"Full, partial",Well-draining,Acidic,Spring,"Pink, red, white",7-9 (USDA),Asia,
1034,"Water lily, Lotus",Nymphaea (Water lily); Nelumbo (Lotus),Nymphaeceae (Water lily); Nelumbonaceae (Lotus),"Herbaceous, perennial","Water lily: 3-6 in. tall, 4-8 ft. wide; Lotus: 3-6 ft. tall, 3-4 ft. wide",Full,"Loamy, clay, silt, sandy",Neutral,Summer,"Water lily: blue, purple, yellow, red, white, pink, orange; Lotus: white, pink, yellow",4-10 (USDA),"Asia, Australia, North America",
1035,"Love-Lies-Bleeding, Lovelies bleeding, Tassel flower, Foxtail amaranthor love-lies-bleeding","Amaranthus caudatus (synonyms: Amaranthus edulis, Amaranthus leucocarpus, Amaranthus mantegazzianus)",,Annual,"2 to 5 ft. tall, 1 to 2 ft. wide",Full sun to part shade,"Moist, average, well-drained, or poor","Acidic, neutral",July to frost,Red,"2 to 11, USDA",American tropics (suspected),
1036,"Lowbush Blueberry, Late Sweet Blueberry",Vaccinium angustifolium,,Decicuous shrub,Up to 24 inches,Full sun/ partial shade,"Loamy, sandy, well-drained",Preference for an acidic soil,Spring,"White, with a pink tinge",2 to 7,Northeastern United States,
1037,"Lucky bamboo, friendship bamboo, ribbon plant",Dracaena sanderiana,Asparagaceae,Perennial shrub,"1–5 ft. tall, 1–2 ft. wide (indoors)",Partial shade,Water or moist but well-drained soil,Acidic,"Fall, winter (does not bloom indoors)",White,"10–11 (USDA), but typically used indoors",Africa,Toxic to animals
1038,"Lungwort, pulmonaria",Pulmonaria spp.,Boraginaceae,"Herbaceous, perennial","6–12 in. tall, 12–18 in. wide","Partial, shade","Moist, well-drained","Neutral, alkaline",Spring,"Blue, pink, white",3–8 (USDA),"Europe, Asia",
1039,"Autumn fern, Japanese shield fern, Japanese wood fern, copper shield fern",Dryopteris erythrosora,Aspleniaceae,Herbaceous perennial,"18-24 in. tall, 18-24 in. spread",Shade,"Moist, well-drained",Acidic,,,5-9 (USDA),Asia,
1040,"Lupine, bluebonnet",Lupinus x hybrida,Fabaceae,"Herbaceous, perennial, annual","3–4 ft. tall, 1–1.5 ft. wide",Full,"Rich, moist, well-drained","Acidic, neutral","Spring, summer","White, pink, red, yellow, blue, purple, bicolor",4–8 (USDA),Parent species mostly native to North America,Toxic to humans and animals
1041,"Lychee, litchi",Litchi chinensis,Sapindaceae,"Fruit, tree","20–110 ft. tall, 30-50 ft. wide",Full sun,"Moist, well-drained",Acidic,Spring,"White, yellow, green",10–11 (USDA),Asia,
1042,"Macho fern, broad sword fern",Nephrolepis biserrata,,Perennial,"3-4 ft. tall, 6 ft. wide","Partial, shade",Moist but well-draining,Acidic,,,"9a, 9b, 10a, 10b",North America,
1043,Mad pupper,"Tillandsia Bergeri, Tillandsia Aeranthos Bergeri",,"Succulent, perennial",Up to 10 in. tall,"Full sun, partial shade",,,Summer,Purple,"9 - 11, USA",South America,
1044,"Madagascar Palm, Madagascar Cactus Palm Tree, Pachypodium Species, Club Foot",Pachypodium lamerei,,Deciduous succulent (not related to true palms),"12 to 24 ft. tall, 10 to 12 ft. wide",Full sun,"Cactus compost, well-drained chalk, loam, or sand",Alkaline,Summer,"White, yellow, red, or pink","9-11, USDA",Southern Madagascar,Toxic to humans and pets
1045,"Annual vinca, Madagascar periwinkle, rosy periwinkle",Catharanthus roseus,Apocynaceae,"Herbaceous perennial, usually grown as an annual","6-18 in. tall, similar spread","Full sun, part shade",Sandy loam,6.0-7.0,June to frost,"White, pink, mauve, red","9-11 (USDA), grown as an annual elsewhere",Madagascar,"Toxic to cats, toxic to dogs, toxic to people"
1046,Madonna Lily,Lilium candidum,,Bulbous perennial,"4 to 6 ft. tall, 1 to 2 ft. wide",Full sun to part shade,"Rich, well-drained",Neutral,Spring to midsummer,White,"5-9, USDA",Middle East,Toxic to cats
1047,Magnolia 'Jane',Magnolia liliflora 'Reflorescens' x stellate 'Waterlily',Magnoliaceae,Deciduous shrub,8 to 12 feet wide and 10 to 15 feet tall,Full sun to part shade,"Organically rich, medium moisture, sandy, silty, tolerates clay soil",Neutral to slightly acidic,Spring,Purple with white interior,4-8 (USDA),United States,
1048,,Mahonia Spp.,Berberidaceae,Shrub,3 to 10 ft.,Partial shade,"Moist, Well-dained",Various,"Winter, Spring","Yellow, Red",Varies,"North & Central America, Asia",
1049,"Gingko, maidenhair",Gingko biloba,Ginkgoaceae,Tree,"50-80 ft. tall, 30-40 ft. wide","Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Spring,Green,4-9 (USDA),China,"Toxic to humans, toxic to pets."
1050,"Autumn sage, Texas sage, Red Chihuahuan sage",Salvia greggii,Lamiaceae,"Perennial, ""subshrub""",2–3 ft. tall and wide,Full,"Well-draining, fertile",Slightly acidic to slightly alkaline (6.1–7.8),Early summer to mid-fall,"Red, pink, white, violet, peach, orange",6b-9a (USDA),"Southwestern North America (Mexico, Texas, Arizona, New Mexico)",
1051,"Maidenhair fern, Delta maidenhair fern",Adiantum raddianum,Pteridaceae,Fern,"1–2 ft. tall, 1–2 ft. wide","Partial sun, shade",Moist but well-drained,Neutral,Non-flowering,None,10-11 (USDA),North America,
1052,"Majesty palm, majestic palm",Ravenea rivularis,Arecaceae,Tree,"10-100 ft.tall, 6–20 ft. wide",Partial,"Moist, well-drained",Acidic,,,10-11 (USDA),Africa,
1053,"Malabar spinach, Indian spinach, Ceylon spinach, vine spinach, climbing spinach",Basella alba,Basellaceae,Vegetable,"6 to 10 ft. long, 2 to 3 ft. wide",Full sun,"Loamy, sandy, moist but well-drained",Neutral to acidic (6.5 to 6.8),,,"7-10, USA","Tropical south and southeast Asia, Indian subcontinent",
1054,"'Miss Kim' lilac, Manchurian lilac",Syringa pubescens subsp. patula 'Miss Kim',,Flowering deciduous shrub,6-8 feet tall and wide,Full sun,Loamy,Neutral to slightly alkaline (pH 7.0–8.0),Spring to early summer,Lavender-purple,4–8 (USDA),"Eastern Asia (Korea, Manchuria)",
1055,"Mandevilla, rocktrumpet",Mandevilla spp.,Apocynaceae,Vine,"3–10 ft. tall, 3–4 ft. wide","Full, partial",Moist but well-drained,"Neutral, acidic","Summer, fall","Pink, red, white",10–11 (USDA),"North America, Central America, South America",
1056,Mango,Mangifera indica,Anacardiaceae,"Fruit, tree","Up to 100 ft. tall, 35 ft. wide",Full sun,"Loamy, moist, well-drained","Acidic, neutral, alkaline",Winter,,9–11 (USDA),Asia,Toxic to people
1057,"Manila palm, Christmas palm",Adonidia merrillii,Arecaceae,Tree,"15-25 ft. tall, 5-8 ft. wide",Full sun,"Clay, sandy, loamy, well-drained",Neutral to alkaline,Summer,Cream,10-11 (USDA),Asia,
1058,"Manjula pothos, happy leaf pothos, HANSOTI14, jewel pothos",Epipremnum aureum ‘HANSOTI14’,Araceae,"Perennial, vine","6 ft long, 3 ft wide (indoors)",Partial,"Loamy, moist but well-drained",Acidic,,,"11a, 11b, 12a, 12b",Australia,"Toxic to cats, toxic to dogs"
1059,"New Zealand tea tree, tea tree, broom tea tree, manuka",Leptospermum scoparium,Myrtaceae,"Shrub, tree",6–10 ft. tall and wide,Full,Well-draining,Acidic,Summer,"White, pink, red",9–10 (USDA),"New Zealand, Australia",
1060,Marble queen pothos,Epipremnum aureum 'Marble Queen',Araceae,"Perennial, vine","10 ft long, 3 ft wide (indoors)",Partial,"Loamy, moist but well-draining",Acidic,"Spring, summer","Green, white","11a, 11b, 12a, 12b",Australia,
1061,Avocado Tree,Persea americana,Lauraceae,"Tree, Fruit","60 ft. tall, 30 ft. wide","Full, Partial","Loamy, Sandy, Well-drained","Acidic, Neutral","Late Winter, Spring, Early Summer","Yellow, Green","9-11, USA","North America, Central America, Asia",Toxic to pets
1062,Marigold,Tagetes spp.,Asteraceae,"Herbaceous, annual","4–48 in. tall, 6–24 in. wide",Full,"Evenly moist, well-drained",Slightly acidic to neutral (6.0 to 7.0),Summer,"Yellow, orange, white, red, gold, bicolor",2-11 (USDA); annual in all zones,Southern North America (Mexico),
1063,"Marsh marigold, yellow marsh marigold, cowslip, caltha cowslip, cowflock, May blob, kingcup",Caltha palustris,,Herbaceous perennial,"1–2 ft. tall, 12 to 18 in. wide","Full, partial","Loamy, moist to wet",Acidic,Spring,Yellow,3–7 (USDA),North America (northern temperate regions),Toxic to humans and animals
1064,"Marshmallow, marsh mallow",Althaea officinalis,Malvaceae,"Perennial, herb","4-5 ft. tall, 2 ft. wide",Full,Moist,"Acidic, neutral, alkaline",Summer,"White, pink",3-7 (USDA),"Europe, Asia, Africa",
1065,Mask Flower,Alonsoa,,Annual/Perennial,24-30 inches,Full sun,"Well-drained, light, fertile",6.1-7.8,Summer/Early fall,Red/Orange,09-Nov,Central/western South America,
1066,"Masterwort, Hattie's pincushion",Astrantia,"Apiaceae, aka Umbelliferae",Perennial,"1-3 ft. tall, 1-2 ft. wide",Partial,"Moist, well-drained","Acidic, neutral","Spring, summer","Green, purple, red, white, pink",4-9 (USDA),Europe,
1067,Mastic Tree,Pistacia lentiscus,Anacardiaceae,Broadleaf Evergreen,"15-25 ft. tall,, 20- 30 ft. wide",Full sun,"Dry, Sandy, Well Draining",Alkaline,Spring,Inconspicuous green,"Zones 9-11, USDA",Mediterranean area,
1068,"Matilija poppy, fried egg plant, California tree poppy",Romneya coulteri,,Tender perennial,6 to 10 feet tall,Full sun,"Sandy loam, tolerant of all soils",5 to 8,March to August,White,USDA 8 to 10,"California, northern Mexico",
1069,"Mayapple, American mandrake, wild mandrake, Indian apple, duck's foot",Podophyllum peltatum,,Herbaceous perennial,"12-18 in. tall, 9-12 in. wide",Part shade to full shade,"Humusy, well-drained soil",4.6-7.0 (acidic to neutral),April,White,3-8 (USDA),"Eastern North America, Southern U.S. to Texas",Toxic to humans and animals
1070,Meadow rue,Thalictrum spp.,Ranunculaceae,Herbaceous perennial,"1–8 ft. tall, 1–5 ft. wide (varies by species)","Full, partial","Well-drained, rich, humusy",Acidic to alkaline (5.0-8.0); varies by species,"Spring, summer (varies by species)","Light purple or pink, white, yellow (varies by species)",3–7 (varies by species),North Hemisphere,May cause skin irritation; T. delavayi may be toxic to pets
1071,"Medinilla, rose grape, showy medinilla, Philippine orchid, pink lantern plant",Mednilla magnifica,,Broadleaf evergreen,2 to 4 feet tall; 1- to 3-foot spread,Part shade,Well-drained potting mix,6.1 to 6.5 (slightly acidic),Sporadically from April to August,Pink to coral red,10 to 11 (USDA),"Phillipines, Java, Malay Peninsula, Sumatra.",
1072,Azalea,Rhododendron spp.,Ericaceae,Deciduous or evergreen shrub,"3–20 ft. tall, wide",1072,"Light, well-drained",Acidic (4.5 to 6.0),Early spring to summer,"White, pink, red, orange, peach",6b-8a (USDA); varies by species,"Asia, Europe, North America",Toxic to humans and pets
