commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
"Spanish lavender, butterfly lavender, bract lavender",Lavendula stoechas,Lamiaceae,"Perennial, shrub, herb",,Full,"Sandy, moist but well-drained","Acidic, neutral",8a-9b (USDA),"Europe, Africa, Mediterranean",https://www.thespruce.com/thmb/7ym1iOIIydLbjCXhjHi45fH7U-Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/cleome-flower-spider-1315709-hero-15fca9274628400eb5b4c378a38bacc1.jpg,Spanish Lavender Lavendula stoechas.json,"18-36 in. tall, 18-36 in. wide","Spring, summer","Pink, purple, white",Toxic to pets
"Bird of paradise, crane flower","Strelitzia reginae, Strelitzia nicolai",Strelitziaceae,Herbaceous perennial,,Full to partial,Loamy,Slightly acidic,10-12 (USDA),Africa (South Africa),https://www.thespruce.com/thmb/wdzma-Cl-6ZZ9OtHDP16USXP7m4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/bigleaf-periwinkle-vinca-major-profile-5181703-hero-8f41ad476e904c99b34efd88190d5000.jpg,Bird Of Paradise Strelitzia reginae.json,"3.5-6 ft. tall, 3-4 ft. wide",Late winter to early spring,Orange or white,Toxic to pets
"Calypso orchid, fairy slipper, Venus' slipper",Calypso bulbosa,Orchidaceae,Perennial,,"Partial, shade","Moist, well-drained",Acidic,"4–8, USA","North America, Eurasia",https://www.thespruce.com/thmb/L3O3ipo3r2uaPf4JnZbDGG9RV7Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/calypso.flickr.hofmann-56d4f5005f9b5879cc929a5f.jpg,Calypso Orchid Calypso bulbosa.json,"3–6 in. tall, 3 in. wide","Spring, summer","Pink, purple, red, white",
"Strawberry begonia, creeping saxifrage, strawberry geranium",Saxifraga stolonifera,,Herbaceous perennial,,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,6–9 (USDA),Asia,https://www.thespruce.com/thmb/OZjn9x58ItqgTpYXvEyxXiptwEc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-green-beans-1403459-hero-530fc7f267ce44cf89415748b46d88b4.jpg,Strawberry Begonia Saxifraga stolonifera.json,"6–18 in. tall, 12–24 in. wide","Late spring, early summer",White,
"Tiger aloe, partridge-breasted aloe, partridge breast aloe",Gonialoe variegata (formerly Aloe variegata),Asphodelaceae,"Succulent, perennial",,Full sun to partial shade,"Well drained, sandy loam; cactus/succulent potting mix",Slightly acidic (5.5—6.5),9–11 (USDA),Southern Africa and Namibia,https://www.thespruce.com/thmb/MCtXNTlwgaIVLeoStAt9gDHE4so=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/toad-lily-growing-guide-5220693-hero-05489e67f9e54de9b5fc221fa8d65b19.jpg,Tiger Aloe Gonialoe variegata.json,"18—24 in. tall, 8–12 in. wide",July to September,"Orange, salmon, pink, yellow (rare)",
"Yellow corydalis, rock fumewort",Corydalis lutea,,Perennial,,Part shade,"Moist, well-draining soil",6.5-8,7-May,Europe,https://www.thespruce.com/thmb/Shozt83y8MKCy7LX1qIEQuod0zc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/yellow-twig-dogwood-shrubs-2132735-hero-fad0d8bc55d24128a27e57d299f740ac.jpg,Yellow Corydalis Corydalis lutea.json,15 inches tall,"Spring, summer, fall","Yellow, orange",
"Firebush, scarlet bush",Hamelia patens,Rubiaceae,Herbaceous perennial,,"Full sun, partial shade",Well-drained,Neutral to acidic,8–11 (USDA),"Mexico, Central America, South America",https://www.thespruce.com/thmb/HShGDwwfBRKDTWkNOmevCUOaIO8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-firepower-nandina-5094222-hero-4d1abc48fe2f447d9798996f1c069d09.JPG,Firebush Hamelia patens.json,"3–15 ft. tall, 2–6 ft. wide","Summer, fall","Orange, orange-red, red",
"Boat lily, oyster plant, Moses-in-the-cradle",Tradescantia spathacea,,"Herbaceous, perennial",,"Full, partial","Loamy, rocky, well-drained","Acidic, neutral",9–11 (USDA),Central America,https://www.thespruce.com/thmb/wv89XGNEJiQ-cPFTKwKfp7gS9rA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/flapjack-succulent-plant-profile-5073225-04b-e089566baeae4575a0cc4eaaf44453ab.jpg,Oyster Plant Tradescantia spathacea.json,"6–12 in. tall, 12–24 in. wide",Seasonal,"White, pink",Toxic to people and animals
Ice plant,"Delosperma spp., Lampranthus spp.",Aizoaceae,"Herbaceous, perennial",,Full,"Sandy, well-drained",Neutral,6–10 (USDA),Africa,https://www.thespruce.com/thmb/I1fXb0T3KiHDb2PWJWrv7PKLogQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/shade-tolerant-impatiens-flowers-2132141-1-bd0a4240329940a2896d7a64282e67e1.jpg,Ice Plant Delosperma.json,"3–6 in. tall, 12–24 in. wide","Spring, summer, fall","Pink, red, purple, yellow, orange",
"Bahia grass, bahiagrass",Paspalum notatum,,Grass,,Full sun,"Sandy, poor soil",Acidic,"7 to 11, USA",South America,https://www.thespruce.com/thmb/es4IbUCcpCWdmkOvBKOIC7_bU3c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-bachelors-buttons-1315694-01-8f93171a0b8d4d24be5ca7495ca74bb4.jpg,Bahia Grass Paspalum notatum.json,8 to 30 inches tall,,Not applicable,
"Flowering tobacco, jasmine tobacco, sweet tobacco, winged tobacco",Nicotiana alata,Solanaceae,"Perennial, herbaceous",,"Full, partial","Moist, well-drained","Acidic, neutral, alkaline",10-11 (USDA),South America,https://www.thespruce.com/thmb/05vUS6Ng1xaPoM79pHDWTJc_gPE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-foothill-sedge-5085334-hero-1bdb5b9ae3b944abb0cde57432852cac.jpg,Flowering Tobacco Nicotiana alata.json,"3-5 ft. tall, 1-2 ft. wide","Summer, fall","Yellow, green, white, pink, red","Toxic to humans, toxic to pets"
"Himalayan birch, Indian paper birch, white-barked Himalayan birch",Betula jacquemontii,Betulaceae,Tree,,"Full, partial","Loamy, sandy, clay, moist but well-drained","Acid, alkaline, neutral",4-7 (USDA),Asia,https://www.thespruce.com/thmb/08W1iCAeDTg75bQPSRAvkKZ6-M4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/hinoki-cypress-trees-2132062-05-d54ae812badb449c896b55f77d69d649.jpg,Himalayan Birch Betula utilis.json,"40-50 ft. tall, 20-35 ft. wide",Spring,"Yellow, brown, green",
"Mock strawberry, false strawberry, Indian strawberry, and Indian mock strawberry","Potentilla indica, formerly Duchesnea indica, originally Fragaria indica",,"Fruit-bearing, deciduous groundcover",,Full sun to partial shade,Humus rich,Mildly acidic to mildly alkaline,"5-9, USDA",Asia (Afghanistan to Russian Far East),https://www.thespruce.com/thmb/RQ_EEy2SeNyYTlipR9CqDSMKo-I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/TheSpruce1-0cdbe5809c914e25b1d24b0122f39c11.jpg,Mock Strawberry Potentilla indica.json,2.5 inches tall,April to June,Yellow/gold,
Fern tree,Filicium decipiens,,Evergreen tree,,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,10–12 (USDA),"Africa, Asia",https://www.thespruce.com/thmb/6FoRMc_Z3zuHfC77M75lH0r6BmM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/kwanzan-cherry-trees-2132134-01-c71b6c8d24d94546921dac24c074472d.jpg,Japanese Fern Tree Filicium decipiens.json,"15–35 ft. tall, 15–25 ft. wide",Winter,White,
"Common grape, European grape, wine grape",Vitis vinifera,,"Woody, deciduous, fruiting vine",,Full sun,"Well-drained, rich, loamy, medium-moist",6.5,"6 to 9, USA",Europe and Southwestern Asia,https://www.thespruce.com/thmb/--9aopklB6e1QzbM9TlcI-2H7Fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/thespruce.com-emerald-n-gold-euonymus-shrubs-2132073-3-658e12a8b73f484d98e9c62c901e72a4.jpg,Wine Grape Vitis vinifera.json,"Can grow 40–60 ft. long, usually pruned to 3–9 ft. high, with a similar spread, for wine production",May to June,Light green,Toxic to dogs
Coral bark maple,Acer palmatum 'Sango-kaku',,Deciduous tree,,Full sun to part Shade,Well-draining soil,Acidic,6b-8a (USDA),"Japan, China",https://www.thespruce.com/thmb/-w-HapHvutAysw4g0lEXzi3QziQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/sango-kaku-coral-bark-maple-guide-5272442-hero-d6ca73036e864d5bb4e6afdd6a343e12.JPG,Coral Bark Maple Acer palmatum 'Sango-Kaku'.json,"15-20 ft. tall, 15 ft. wide",Early spring,,
"California lilac, Mountain lilac, Wild lilac",Ceanothus spp.,Rhamnaceae,Evergreen and deciduous shrubs,,"Full Sun, Partial Shade",Well-drained,"Acid, Neutral, Alkaline","Varies, dependng on the cultivar",North America,https://www.thespruce.com/thmb/9X1en9Fc0WeWV0kM_8tdFJOKUto=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/ceanothus-california-lilac-growing-guide-5212344-hero-f1b74ae0eaf047a98d101c3b7868bc8d.jpg,California Lilac Ceanothus.json,2-20 ft. tall,Depends on the cultivar,"Blue, Pink, White",
"Common St. John's wort, Klamath weed, goatweed, tipton weed, devil's scourge, rosin weed, god's wonder plant, perforate St. John's wort",Hypericum perforatum,,Herbaceous plant with a perennial life cycle,,Full sun to partial shade,"Rich, well-drained, with average moisture content","Acidic, neutral, or alkaline",3 to 8,"Europe, Asia, and North Africa; has naturalized in North America",https://www.thespruce.com/thmb/0nh9xP5f6KKuZs9wItt9RRg5GzQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/starfruitgetty-ab180f33ff894409bbeb1261f6d942ac.jpg,St. John's Wort Hypericum perforatum.json,1 to 3 feet tall and not quite as wide; upright growing habit,June through September,Yellow,
"Giant fleece flower, knotweed, white fleece flower",Persicaria polymorpha,,Herbaceous perennial,,Full sun,Moist but well-drained,Neutral to acidic,4–9 (USDA),Asia,https://www.thespruce.com/thmb/um4mbYfDuxAXkkVgtgneGBgDD_A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/purple-giant-hyssop-plant-profile-5025202-hero-a7ab3ab1931a4debbf2a47fbf224263a.JPG,Giant Fleece Flower Persicaria polymorpha.json,"3–5 ft. tall, 3–4 ft. wide",Summer,White,
"Popcorn plant, popcorn cassia",Senna didymobotrya,Fabaceae,"Perennial, annual",,Full,Well-drained,"Acidic, neutral",9-11 (USDA),Africa,https://www.thespruce.com/thmb/LjOjeihyyBqPGol-z3hyW0-O5js=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-popcorn-plants-5082983-02-598acf4ed21b40d6a6142e3366cf7ab5.jpg,Cassia Senna didymobotrya.json,"2-25 ft. tall, 2-5 ft. wide",Summer,Yellow,"Toxic to humans, toxic to pets"
"Golden Alexander, golden zizia",Zizia aurea,,Perennial,,Part sun to shade,Sandy or sandy-clay soils,Neutral to slightly acidic,4-9 (USDA),Eastern Canada and U.S.,https://www.thespruce.com/thmb/mxo_uNUNVX2wevdyrzjFTSajYnc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/golden-barberry-plant-profile-5069388-hero-6f770d9e7b87491c918910d50fc92948.jpg,Golden Alexander Zizia aurea.json,1-3 ft.,Late spring,Yellow,
"Haworthia, zebra cactus, pearl plant, star window plant, cushion aloe",Haworthia,Asphodelaceae,"Succulent, perennial",,"Full, partial","Sandy, well-drained",Neutral,"9–11, USA",Africa,https://www.thespruce.com/thmb/E-9EM7lGCffbxWGGAiBGyelRdkQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-652134104-bb0d6e9473d94f928e5c158ff05337e5.jpg,Pearl Plant Haworthia.json,3–5 in. tall and wide; some species can reach 20 in. tall,Summer,White,
"Cleomes, spider flower, Rocky Mountain bee plant, stinking clover",Cleome,Cleomaceae,Annual,,"Full sun, part sun","Average, well-drained",Acidic to neutral,"10, 11",South America,https://www.thespruce.com/thmb/3BLfk2Ky9FLFZ7hZI8HGwkV36aY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/tradescantia-care-overview-1902775-04-6911a02c78b24805882a085431402812.jpg,Spider Flower Cleome.json,1.5 to 5 feet tall and 1 to 2 feet wide,Summer,"White, pink, lavender, rose",
"Encyclia orchid, Cockleshell or cochleata orchid, clamshell orchid",Encyclia cochleata,,Epiphyte,,"Indirect, medium to bright","Well-drained mix such as fir bark, lava rock, river rocks or hardwood charcoal",5.5-6.5,"9, 10, 11","Damp forests, woodlands and swamps of southern Florida, Mexico, the West Indies, and Central and South America",https://www.thespruce.com/thmb/Oh5Pm2WBJa-xDt6X4gS03y9TEuo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-encyclia-orchids-5076007-hero-def8409c8b774a028de85fc2e99c0f30.jpg,Cockleshell Encyclia cochleata.json,Up to two feet tall depending on the variety,Spring,"Purple, brown, yellow, green and fuchsia",
"Rose Campion, Rabbit's Ears, Crown Pink",Lychnis coronaria,Caryophyllaceae,"Biennial, short-lived perennial",,Partial to full sun,"Well-drained, tolerant of most soils",Neutral to partly acidic,5-8 (USDA),Europe,https://www.thespruce.com/thmb/A27c95VtZI6pspe8aRDmpTLm_DY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/royal-poinciana-growing-profile-3269287_08-2876551dacf744a18ef480aac0d10138.JPG,Rose Campion Lychnis coronaria.json,12-18 in. high,Early to mid summer,"Magenta, pink, white",
"Elephant's ear, American Taro",Xanthosoma spp.,Araceae,"Perennial, Herbaceous",,"Partial, Shade",Moist but Well-drained,"Acidic, Neutral",8-13 (USDA) depends on species,Central and South America,https://www.thespruce.com/thmb/9UFABQljwd6l8_rwFR7rKSDi9SU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/elephant-ear-plants-2132884-04-22ba8d4865f944009bfa94716a0f5bd7.jpg,Elephant's Ear Xanthosoma.json,Up to 8 ft. tall,Summer,Greenish White,Toxic to people and pets
"Bartlett Pear Tree, Williams Pear Tree",Pyrus communis,Rosaceae,"Tree, Fruit",,Full,"Loamy, clay, moist but well-drained",Acidic,"5-7, USA",Europe,https://www.thespruce.com/thmb/ixAbV99c9Q92RG9LWrmmgLcclQQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/epimedium-growing-guide-5211581-hero-3f91f95a730248c98b674e8d2607539b.jpg,Bartlett Pear Pyrus communis.json,"20 ft. tall (standard), 15 ft. tall (dwarf), 20 ft. wide (standard), 10 ft. wide (dwarf)",Spring,White,
"Boxwood, English boxwood, box",Buxus spp.,Buxaceae,Shrub,,"Full, partial",Loamy,"Neutral, alkaline",5-9 (USDA),"Europe, Asia",https://www.thespruce.com/thmb/-YbckQZLJ8WGbUKPckQhGmUXkfI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/english-boxwood-shrubs-2132072-hero-03-c9f674badbbb45128597f71cb35a71d7.jpg,Boxwood Buxus.json,"2-8 ft. tall, 2-8 ft. wide",Spring,"Green, yellow",Toxic to pets
"Blazing star, liatris, dense blazing star, gay feather",Liatris spicata,Asteraceae,Herbaceous perennial,,Full,"Medium-moisture, well-drained",Acidic to neutral (5.5 to 7.5),3–9 (USDA),Eastern North America,https://www.thespruce.com/thmb/PbHMvSQjD31yU5ip2up4MxkuuPk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/leopard-plants-shade-plants-2131893-hero-8e0d61a3d7ad484193f0ff4344b5ea2f.jpg,Liatris Liatris spicata.json,"2–5 ft. tall, 9–18 inches wide",Summer to early fall,"Purple, reddish-purple, white",
"Marsh marigold, yellow marsh marigold, cowslip, caltha cowslip, cowflock, May blob, kingcup",Caltha palustris,,Herbaceous perennial,,"Full, partial","Loamy, moist to wet",Acidic,3–7 (USDA),North America (northern temperate regions),https://www.thespruce.com/thmb/_v-zskyRntSFzdT--rmqtEWk_js=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-mask-flower-plants-5085373-01-4aca0d4fb13847aea153e04fbde9c42e.jpg,Marsh Marigold Caltha palustris.json,"1–2 ft. tall, 12 to 18 in. wide",Spring,Yellow,Toxic to humans and animals
San Marzano Tomato,Lycopersicon esculentum 'San Marzano',Solanaceae (nightshade),Annual vegetable plant,"6 to 8 feet tall, 2 to 3 feet wide",Full sun,"Organic, well-draining",Acidic to Neutral,"5-10, USA",Europe,https://www.thespruce.com/thmb/cZYOIDnSyLaVhA6ng41_G1os3IY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/godetia-plant-profile-4800077_03-0851a9a0fa004a18a5328540b257a908.jpg,San Marzano Tomato Lycopersicon esculentum 'San Marzano'.json,"6 to 8 feet tall, 2 to 3 feet wide",Summer,,Plant is toxic; fruit is non-toxic
"Ghost pepper, ghost chili","Bhut jolokia, Capsicum chinense × Capsicum frutescens",Solanaceae,"Herbaceous, perennial","2–4 feet tall, 2–3 feet wide",Full sun,"Loamy, moist, well-drained",Acidic (6 to 6.8),8–11 (USDA),Asia,https://www.thespruce.com/thmb/qcKm6sTI2FtJtQIbWQLib7-XaUw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/giant-fleece-flower-1402843-hero-8d2a47a1b15c4460a1dadca7728a07ad.jpg,Ghost Pepper Bhut jolokia.json,"2–4 feet tall, 2–3 feet wide",Summer,,
Julia Child roses,Rosa ‘Julia Child’,,Perennial,,"Full, partial","Loamy, sandy, moist but well-drained",Acidic,"6-9, USA",North America,https://www.thespruce.com/thmb/rTUJYWHvRxAO3X14lSwWIZvHYi8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/centranthus-ruber-plant-profile-5069950-hero-79244566aa304cbf8828c45ca2c6d9fe.jpg,Julia Child Roses Rosa 'Julia Child'.json,"2-3 ft. tall, 2-3 ft. wide","Spring, Summer, Fall",Yellow,
Magnolia 'Jane',Magnolia liliflora 'Reflorescens' x stellate 'Waterlily',Magnoliaceae,Deciduous shrub,,Full sun to part shade,"Organically rich, medium moisture, sandy, silty, tolerates clay soil",Neutral to slightly acidic,4-8 (USDA),United States,https://www.thespruce.com/thmb/Y6f7H9IVL2wF7SQ9vqtU21rXLhQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/ginkgo-biloba-trees-fall-foliage-champ-4119900-07-7619c746899245419eb9de47ccbca196.jpg,Magnolia Jane Magnolia x 'Jane'.json,8 to 12 feet wide and 10 to 15 feet tall,Spring,Purple with white interior,
"China doll plant, serpent tree, emerald tree",Radermachera sinica,,Broadleaf evergreen,,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,10–12 (USDA) when outdoors,Asia,https://www.thespruce.com/thmb/WDqudl6NnUmmK4I7aIOWpHpMvDE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/china-doll-plant-care-and-growing-guide-01-ea7ea6f67b8149c7a2633bbe9acdcf95.jpg,China Doll Plant Radermachera sinica.json,"4–6 ft. tall (indoors), 1–3 ft. wide (indoors)",Summer (rarely blooms indoors),"White, yellow",
"Elecampane, horse heal, elfdock",Inula helenium,,Perennial herb,,Full sun to part shade,Any well-drained soil,6.5–7.5 (neutral),3–7 (USDA),Eurasia; naturalized in North America,https://www.thespruce.com/thmb/f7lf50F1YKZRyyac4Oy-WoLIFm4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-and-use-elecampane-1762291_02-524c1eb78b864a5e93319f46fd1b547b.jpg,Elecampane Inula helenium.json,"3–6 feet tall, 2–3 feet wide",Summer to fall,Yellow,
"Canna, canna lily",Canna spp.,Cannaceae,"Perennial, grown as an annual in colder zones",,Full sun,"Rich, moist, well-draining",Acidic (6.0 to 6.5),,"South America, Central America, West Indies, Mexico, southeastern United States",https://www.thespruce.com/thmb/rcXw8qfIMRSfpWZ6Ug20iNfdMYw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-canna-lilies-in-containers-847913-09-c06d1fea32b449b8abb2a802f8e01a1a.jpg,Canna Canna.json,"1.5–8 ft. tall, 1.5–6 ft. wide",Summer,"Red, orange, yellow, pink, cream, white; solid color or with contrasting spots",
"Impatiens, busy Lizzy",Impatiens spp.,Balsaminaceae,"Perennial, annual",,"Partial, shade",Well-draining,Acidic,10-11 (USDA),"Africa, New Guinea",https://www.thespruce.com/thmb/LXKlL4tjkoFCZGeCmIFQzTaUfzM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Inaba-shidare-Japanese-maple-big-d711eb2da73d474a8e782e2b92d592a2.jpg,Impatiens Impatiens.json,6–36 in. tall; 1–3 ft. wide,"Spring, summer","White, red, pink, orange, purple, yellow",
"Rose of Sharon, shrub althea, rose mallow, Syrian mallow, Syrian hibiscus",Hibiscus syriacus,Malvaceae,Shrub,,"Full, partial","Moist, well-drained","Acidic, neutral","5–8, USDA",Asia,https://www.thespruce.com/thmb/X4c_LVWJfZhFPtqBa7I91WawuA0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/rose-of-sharon-bush-2132728-6-7a3849aa0155410f94c18c4502d59197.jpg,Althea Shrub Hibiscus syriacus.json,"8–12 ft. tall, 6–10 ft. wide","Summer, fall","Pink, purple, lavender, red, blue, white; often with dark throats",
"Poison sumac, thunderwood, swamp sumac",Toxicodendron vernix,,Deciduous shrub or tree,,"Full sun, partial shade","Sandy, loamy, moist",Acidic,3–8 (USDA),North America,https://www.thespruce.com/thmb/hX1eKnBov61kjp1qWwuzqWTH4lQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-hypoestes-phyllostachya-indoors-1902650-01-142be1b46981445f8b8425c65ed2b514.jpg,Poison Sumac Toxicodendron vernix.json,"5–25 ft. tall, 5–20 ft. wide","Spring, summer",Yellowish-green,Toxic to people
"Dr. Ruppel clematis, Doctor Ruppel clematis, Dr. Ruppel virgin's bower",Clematis Dr. Ruppel,,Deciduous perennial flowering vine,,Full sun to partial sun,"Fertile, well-drained, and kept evenly moist",Neutral,4 to 8,Several regions across both the Northern Hemisphere and Southern Hemisphere,https://www.thespruce.com/thmb/Xj1dfTtiAIfXpCEMqCkjQqqye-E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pink-clematis-flowers-dr-ruppel-4122498-hero-a74fafd653924ddd840a9666096ccec0.jpg,Dr. Ruppel Clematis Clematis 'Dr. Ruppel'.json,12 feet tall,June,Pink,
Privet,Ligustrum spp.,Oleaceae,Shrub,,"Full, partial",Well-drained,"Acidic, neutral, alkaline",3–8 (USDA),"Europe, Africa, Asia",https://www.thespruce.com/thmb/Gh8OMZC7VSBSkoyNs6SLAUew7dE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pumpkin-ash-profile-5074896-hero-cd8c64be580c46f98a6bb538acfd99be.jpg,Privet Ligustrum.json,"4–15 ft. tall, 4–10 ft. wide",Summer,White,"Toxic to people, toxic to pets"
"Rhodochiton, Purple bell vine",Rhodochiton atrosanguineus,Plantaginaceae,Perennial,,Full,"Moist, well-drained, loamy",Neutral,9-10 (USDA),North America,https://www.thespruce.com/thmb/o0JufuwGdzgzW66njx6UredW84Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-purple-hyacinth-bean-plants-412553205-debca3e07b304019817a959b406b3459.jpg,Purple Bell Vine Rhodochiton atrosanguineus.json,10 ft.,"Summer, fall",Purple,
"Mexican orange, Mexican orange blossom, Mexican orange flower, mock orange.",Choisya ternata,Rutaceae,Broadleaf evergreen shrub,,Full sun to partial shade,"Fertile, well-drained",Slightly acidic,7–10 (USDA),"Southern North America, Mexico",https://www.thespruce.com/thmb/UuKXKc_RSod4LtyVCZB4F8OtHkE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-pink-evening-primrose-5076325-hero-9e96a3f3b2b541f498cfad06169a816f.jpg,Mexican Orange Choisya ternata.json,"4-8 ft. tall, 4–8 ft. wide",Summer,White,
"Horseradish, red cole, pepper root",Armoracia rusticana,Brassicaceae,"Perennial, herb, vegetable","2–2.5 ft. tall, 2.5–3 ft. wide",Full sun,"Loamy, well-drained","Acidic, neutral (6.0 to 7.5)",4–8 (USDA),"Europe, Asia",https://www.thespruce.com/thmb/sH2jTDP519creppnWHSJ-I89fO0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-hostas-inside-1902532-8-953bacd91995485b9bad68a243e4db0f.jpg,Horseradish Armoracia rusticana.json,"2–2.5 ft. tall, 2.5–3 ft. wide",Summer,,"Toxic to people, toxic to pets"
"Resurrection plant, Rose of Jericho, false Rose of Jericho, stone flower, dinosaur plant",Selaginella lepidophylla,Selaginellaceae,Perennial,,Full,None needed,,10,North America,https://www.thespruce.com/thmb/fvnearxs2S0Xe8L4Ps_Vfk8eGxs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-rhubarb-1403450-hero-10c2e32033b649d49b1c0cb7b7bfeae5.jpg,Resurrection Plant Selaginella lepidophylla.json,"2-6 in. tall, 3-6 in. wide",,,
Globe thistle,Echinops spp.,Asteraceae,Perennial,,Full,Well-drained,Acidic,3-9 (USDA ),"Asia, Europe",https://www.thespruce.com/thmb/NuamH27aXD09JhMQlV1vXrgamNc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/goat-willow-plant-profile-5070518-hero-64c59592d5a24941834d4d6ff8c734a3.jpg,Globe Thistle Echinops.json,"2-5 ft. tall, 1-4 ft. wide",Summer,"Blue, purple, white",
"Joe Pye weed, purple Joe Pye weed, spotted Joe Pye weed",Eutrochium spp.,Asteraceae,"Herbaceous, perennial",,"Full, partial","Moist, well-drained","Acidic, neutral, alkaline (5.0 to 8.0)",4–9 (USDA),North America,https://www.thespruce.com/thmb/CXQH92905wsbZclSdG94wfpmqu0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/yucca-brevifolia-joshua-tree-growing-guide-5210437-hero-2ea8144a3b374b95b55dfacc99008a71.jpg,Joe Pye Weed Eutrochium purpureum.json,"5–7 ft. tall, 2–4 ft. wide",Summer,"Mauve pink, purple-pink",
Hydrangea paniculata 'Renhy' (brand name is Strawberry Vanilla),Strawberry Vanilla� hydrangea,Hydrangeaceae,Deciduous shrub,,Full,Well-drained,Neutral to acidic,3–8 (USDA),"Cultivar, no native range; parent species is native to Asia",https://www.thespruce.com/thmb/iPcUVBIoe1YLLOnvNEisgF6wEAU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-string-of-bananas-plants-5089192-5-574ba83b495541de82088826e4ff33e2.jpg,Strawberry Vanilla Hydrangea Hydrangea paniculata 'Renhy'.json,"6-7 ft. tall, 4-5 ft. wide","Summer, fall","White, pink",
